City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
68,Cabo San Lucas,MX,66.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
78,Paracuru,BR,82.42,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
80,Gigmoto,PH,77.95,moderate rain,13.7796,124.39,Cj's Travellers Inn
83,Nouadhibou,MR,66.18,few clouds,20.931,-17.0347,El Medina
87,Voi,KE,74.01,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
91,Lorengau,PG,84.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
95,Vanimo,PG,85.26,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
96,Victoria,HK,64.18,broken clouds,22.2855,114.1577,Mini Hotel Central
97,Aquin,HT,74.39,clear sky,18.2833,-73.4,Asheev Beach
98,Itoman,JP,64.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
99,Marsh Harbour,BS,73.89,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
100,Meulaboh,ID,84.69,broken clouds,4.1363,96.1285,Kost Pria
101,Buala,SB,78.96,light rain,-8.145,159.5921,Maringe Lagoon Lodge
104,Dzilam Gonzalez,MX,72.81,clear sky,21.2833,-88.9333,posadas
106,Oussouye,SN,69.3,clear sky,12.485,-16.5469,Auberge du Routard
107,Gosainganj,IN,63.95,few clouds,26.5833,82.3833,suraj Trunk House
108,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
116,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
121,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
122,Berbera,SO,74.61,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
124,Eyl,SO,74.48,clear sky,7.9803,49.8164,Amiin Hotel
129,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
131,Takoradi,GH,78.13,clear sky,4.8845,-1.7554,Raybow International Hotel
133,Codrington,AU,65.48,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
135,Dingle,PH,80.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
137,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
140,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
141,Manokwari,ID,81.7,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
142,Carutapera,BR,76.33,overcast clouds,-1.195,-46.02,Lidera
144,Puerto Del Rosario,ES,67.68,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
145,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
146,Siuna,NI,67.46,clear sky,13.7332,-84.7773,hotel los chinitos
154,Humberto De Campos,BR,75.29,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
157,Conakry,GN,78.87,mist,9.538,-13.6773,Riviera Royal Hotel
158,Tabou,CI,77.23,few clouds,4.423,-7.3528,hotêl doufoulougou
160,Sabang,ID,82.74,broken clouds,5.8933,95.3214,Hotel Citra
168,Doha,QA,64.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
171,Butaritari,KI,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
172,Itarema,BR,77.47,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
180,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
182,Bluefields,NI,75.31,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
184,Acajutla,SV,74.8,clear sky,13.5928,-89.8275,Laureles
186,Cockburn Town,TC,75.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
189,Ixtapa,MX,69.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
191,Saint-Pierre,RE,80.24,light rain,-21.3393,55.4781,Lindsey Hôtel
196,Poso,ID,86.99,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
197,Buraydah,SA,63.05,clear sky,26.326,43.975,فندق راحة السلام
200,Sao Gabriel Da Cachoeira,BR,72.39,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
205,Paita,PE,70.84,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
209,Kattivakkam,IN,84.29,few clouds,13.2167,80.3167,Euronova Freezer
213,Chabahar,IR,70.41,clear sky,25.2919,60.643,هتل گدروشیا
218,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
219,Akyab,MM,75.96,clear sky,20.15,92.9,Hotel Memory
220,Bac Lieu,VN,86.79,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
223,Camacha,PT,63.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
225,Kinkala,CG,71.91,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
232,Sorong,ID,84.54,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
236,Rusera,IN,64.98,scattered clouds,25.75,86.0333,Santosh Hotel&Santosh resturent
238,Pimenteiras,BR,73.78,scattered clouds,-6.2453,-41.4192,Hotel rotativo pimentas
240,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
245,Ocara,BR,72.79,broken clouds,-4.4908,-38.5967,Pousada familiar
246,Cabatuan,PH,81.14,broken clouds,10.8794,122.486,MVC Transient Room
251,Kokopo,PG,84.29,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
255,Urucara,BR,72.9,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
261,Seminole,US,69.89,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
262,Acapulco,MX,73.89,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
265,Bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
267,Along,IN,68.36,scattered clouds,28.1667,94.7667,Hotel West
272,Havelock,US,66.2,broken clouds,34.8791,-76.9013,Sherwood Motel
274,Kongoussi,BF,64.0,clear sky,13.3258,-1.5347,Hôtel La Sagesse
275,Anloga,GH,79.02,clear sky,5.7947,0.8973,Pin Drop Hotel
277,Sai Buri,TH,83.97,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
279,Garissa,KE,78.48,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
281,Abu Dhabi,AE,67.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
291,Sawakin,SD,75.54,overcast clouds,19.1059,37.3321,فندق الدويم
295,Namatanai,PG,83.37,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
297,Chanika,TZ,70.86,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
298,Progreso,MX,78.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
301,Ahuimanu,US,76.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
302,Bosaso,SO,73.38,few clouds,11.2842,49.1816,Red Sea Hotel
309,Tecoanapa,MX,72.79,clear sky,16.5167,-98.75,Hotel Manglares
