City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
298,Progreso,MX,21.2833,-89.6667,78.12,76,0,13.62,clear sky
299,Aykhal,RU,66.0,111.5,-16.82,100,100,2.55,overcast clouds
300,San Patricio,US,28.017,-97.5169,35.58,74,61,15.61,broken clouds
301,Ahuimanu,US,21.4447,-157.8378,76.71,70,75,1.01,broken clouds
302,Bosaso,SO,11.2842,49.1816,73.38,78,20,0.0,few clouds
303,Havoysund,NO,70.9963,24.6622,23.23,74,41,22.3,scattered clouds
304,Zhangzhou,CN,24.5133,117.6556,57.15,87,100,1.52,overcast clouds
305,Langsa,ID,4.4683,97.9683,91.47,48,64,3.62,broken clouds
306,Koslan,RU,63.4564,48.8989,1.49,99,92,2.17,overcast clouds
307,Ojinaga,MX,29.5667,-104.4167,32.95,59,100,0.0,overcast clouds
308,Fonte Boa,BR,-2.4959,-66.2662,72.79,94,55,0.72,broken clouds
309,Tecoanapa,MX,16.5167,-98.75,72.79,75,0,4.34,clear sky
310,Outlook,CA,51.5001,-107.0513,-16.04,100,81,3.78,broken clouds
311,Lavrentiya,RU,65.5833,-171.0,1.6,55,0,22.28,clear sky
312,Pomabamba,PE,-8.8333,-77.4667,50.81,88,96,3.65,light rain
313,Erenhot,CN,43.6475,111.9767,8.73,66,10,9.42,clear sky
314,Arbazh,RU,57.6804,48.3065,9.68,96,100,5.73,overcast clouds
315,Taquaritinga Do Norte,BR,-7.9031,-36.0442,67.8,87,100,5.17,overcast clouds
316,Emmett,US,43.8735,-116.4993,28.17,72,31,4.47,scattered clouds
317,Ankpa,NG,7.3706,7.6253,66.56,22,1,1.74,clear sky
318,Misratah,LY,32.3754,15.0925,55.67,68,0,9.04,clear sky
319,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,4.05,light snow
320,Warrington,GB,53.3925,-2.5802,41.11,87,75,5.01,light rain
321,Magadan,RU,59.5667,150.8,7.47,76,81,10.0,broken clouds
322,Zavyalovo,RU,54.5053,82.4484,8.42,94,53,9.6,broken clouds
323,Hue,VN,16.4667,107.6,66.31,94,75,10.36,mist
324,Baykit,RU,61.67,96.37,15.64,92,99,4.32,overcast clouds
325,Xining,CN,36.6167,101.7667,19.42,42,98,3.4,overcast clouds
326,Islamkot,PK,24.6997,70.177,70.29,30,0,8.59,clear sky
327,Vardo,NO,70.3705,31.1107,17.8,66,100,14.58,light snow
328,Montelimar,FR,44.5584,4.7509,46.76,85,37,5.61,scattered clouds
329,Catuday,PH,16.2923,119.8062,80.85,67,10,8.95,clear sky
330,Todos Santos,MX,23.45,-110.2167,65.01,66,11,10.33,few clouds
331,Tuy Hoa,VN,13.0833,109.3,73.36,87,89,11.23,overcast clouds
332,Pedro Ii,BR,-4.4247,-41.4586,69.76,79,98,1.14,overcast clouds
333,Zhanaozen,KZ,43.3,52.8,40.73,59,98,15.55,overcast clouds
334,Amethi,IN,26.15,81.8167,64.24,69,20,4.92,few clouds
335,Cambridge,CA,43.3601,-80.3127,14.38,87,100,1.01,overcast clouds
336,Kismayo,SO,-0.3582,42.5454,80.19,78,74,18.75,broken clouds
337,Calamar,CO,10.2511,-74.9146,80.55,84,0,4.43,clear sky
338,Bondo,CD,3.8146,23.6866,71.06,48,96,2.01,overcast clouds
339,Negombo,LK,7.2083,79.8358,82.45,74,2,4.61,clear sky
340,Medak,IN,18.0333,78.2667,72.5,29,11,10.31,few clouds
341,Valley,US,45.1277,-116.1262,12.81,91,53,3.71,broken clouds
342,Champerico,GT,14.3,-91.9167,79.36,72,11,6.22,few clouds
343,Tulancingo,MX,20.0833,-98.3667,51.6,87,46,4.23,scattered clouds
344,Tazovskiy,RU,67.4667,78.7,-2.79,100,98,5.88,overcast clouds
345,Seoul,KR,37.5683,126.9778,31.48,34,20,13.8,few clouds
346,Nome,US,64.5011,-165.4064,8.67,53,0,25.32,clear sky
347,Tezu,IN,27.9167,96.1667,72.82,31,67,3.0,broken clouds
348,Placerville,US,38.7296,-120.7986,45.63,83,0,1.01,clear sky
349,Nantucket,US,41.2835,-70.0995,52.25,98,100,8.05,mist
350,Kloulklubed,PW,7.0419,134.2556,86.5,73,21,17.34,few clouds
